psi_n,dT_dpsi_native_N_m,two_n_delta_W_native,T_cumulative_native_N_m,two_n_delta_W_cumulative_native,dV_dpsi_n_native
0.0493156744,-56.1843123,51442.8943,-0.00144794753,1.3202936,574.063367
0.0493261348,-56.0362854,51450.9843,-0.00203484603,1.85845672,574.064168
0.0494307395,-54.7967667,51507.4702,-0.00783161692,7.24343688,574.072147
0.0498753158,-49.7997339,51712.1664,-0.0310631185,30.1903308,574.105533
0.050553835,-43.0789336,51910.3398,-0.0625150712,65.3526091,574.154877
0.0516131591,-34.4264577,51987.2256,-0.103383265,120.406338,574.228138
0.0532001502,-24.7169779,51696.0209,-0.149864691,202.734103,574.329708
0.0549299444,-17.345102,50988.3319,-0.185851245,291.591999,574.430475
0.0567311402,-12.0791508,49975.1559,-0.212053035,382.552027,574.526329
0.0585323359,-8.47525294,48791.0849,-0.230362971,471.519473,574.614953
0.0603335317,-6.0099176,47514.9439,-0.243267806,558.26134,574.697797
0.0621347275,-4.33770572,46202.4147,-0.252489237,642.665058,574.775945
0.0639359233,-3.21866093,44891.8503,-0.259226041,724.701708,574.850455
0.0659382148,-2.42483121,43473.7521,-0.264810357,813.158891,574.93004
0.0679405063,-1.95881275,42126.8653,-0.26915527,898.843486,575.007191
0.0699427978,-1.7098408,40870.1365,-0.272799448,981.919594,575.082896
0.0719450893,-1.59672673,39707.9,-0.276093146,1062.57441,575.15799
0.0739473808,-1.58122885,38633.8649,-0.279258825,1140.99204,575.233259
0.0746566615,-1.58284867,38273.5738,-0.280382092,1168.26588,575.260107
0.074782212,-1.5829324,38210.8639,-0.280580792,1173.06721,575.264872
0.0754154687,-1.59480922,37898.8571,-0.281586561,1197.16531,575.288964
0.0766936296,-1.63065359,37292.9368,-0.28364697,1245.21546,575.337887
0.0781868797,-1.68391447,36625.7437,-0.286120133,1300.39959,575.395543
0.0797876743,-1.75023643,35959.2679,-0.288868169,1358.48964,575.457948
0.0823978785,-1.85843298,34980.2473,-0.293579553,1451.04416,575.561262
0.0852480816,-1.96247914,34051.9176,-0.299029409,1549.38949,575.678063
0.0885782827,-2.05723761,33124.1668,-0.305731149,1661.20173,575.822738
0.0923442044,-2.13431119,32237.5183,-0.313631673,1784.22783,575.993927
0.0969815671,-2.20071353,31322.454,-0.323693113,1931.5384,576.203877
0.10161893,-2.23229865,30576.0149,-0.333988867,2074.99565,576.401497
0.106256293,-2.21040577,29984.2998,-0.344314404,2215.36172,576.57763
0.109377124,-2.20463208,29660.2565,-0.351188023,2308.4179,576.68138
0.109523404,-2.19900261,29646.5442,-0.351510271,2312.75561,576.685989
0.110174619,-2.17253032,29586.8213,-0.352930556,2332.04239,576.706299
0.111670283,-2.16422371,29456.5604,-0.356177085,2376.19543,576.751886
0.113618075,-2.14009215,29303.814,-0.360367656,2433.41897,576.80993
0.115863515,-2.11594616,29150.5936,-0.36514646,2499.04226,576.876706
0.119031409,-2.07756223,28976.7015,-0.371790106,2591.09969,576.974259
0.12266053,-2.020858,28838.912,-0.379232867,2695.9897,577.096859
0.127250527,-1.92662542,28739.9429,-0.388300076,2828.10736,577.280441
0.131840525,-1.82050414,28688.6614,-0.396901088,2959.89519,577.510991
0.138226729,-1.66810564,28662.4194,-0.408043007,3142.99584,577.914995
0.144612933,-1.5197068,28677.2734,-0.418215329,3326.0708,578.39717
0.150999138,-1.38240192,28715.6108,-0.427476939,3509.32368,578.942591
0.155305897,-1.30230504,28747.4961,-0.433251489,3633.06309,579.342124
0.156071538,-1.28556469,28753.3545,-0.434242707,3655.07557,579.41569
0.158070623,-1.24000282,28768.826,-0.436764129,3712.57144,579.611291
0.160707304,-1.1898754,28789.5233,-0.439968358,3788.45282,579.876927
0.163694618,-1.13401938,28813.8687,-0.443437939,3874.49225,580.188133
0.168294681,-1.05975441,28853.0552,-0.44847829,4007.12735,580.687584
0.173237785,-0.995045704,28895.5858,-0.453550632,4149.85651,581.249285
0.178866969,-0.933930453,28943.4,-0.458976159,4312.64971,581.918008
0.185401,-0.872475121,28999.2207,-0.464872445,4501.94875,582.73349
0.193744727,-0.813690796,29058.9128,-0.471888108,4744.17616,583.863147
0.202088454,-0.751229976,29099.7596,-0.478440647,4986.8156,585.119211
0.210432181,-0.671594526,29158.3996,-0.484376457,5229.82655,586.528721
0.217201304,-0.653566848,29242.3144,-0.48880901,5427.46882,587.831144
0.217972108,-0.649975682,29253.6436,-0.489312277,5450.01329,587.9907
0.219652099,-0.641897415,29278.2235,-0.49039334,5499.17977,588.347361
0.223012081,-0.654844411,29328.1471,-0.492571974,5597.63762,589.096746
0.226782573,-0.674027354,29385.6708,-0.495074149,5708.32707,589.990129
0.231469927,-0.701109536,29460.2878,-0.498299252,5846.2414,591.168608
0.237580493,-0.726569204,29563.0251,-0.502667457,6026.57146,592.807499
0.244699584,-0.742061738,29686.3616,-0.507903455,6237.47192,594.853701
0.252322937,-0.728334511,29808.2219,-0.513537087,6464.25951,597.179631
0.26230938,-0.663106373,29951.237,-0.520513803,6762.65625,600.394582
0.273477367,-0.566714912,30105.1335,-0.52738856,7098.01619,604.188333
0.284645354,-0.470374162,30264.8806,-0.533172121,7435.10551,608.180775
0.295181917,-0.394346407,30411.5984,-0.537708316,7754.78794,612.126381
0.301413683,-0.365283808,30480.0672,-0.540065502,7944.53069,614.529825
0.302955574,-0.357492714,30493.6986,-0.540623474,7991.5383,615.130815
0.305655805,-0.343423889,30514.186,-0.541567683,8073.90705,616.188442
0.309706152,-0.329034399,30535.6122,-0.542929741,8197.54735,617.786385
0.314430225,-0.31321662,30544.3618,-0.544445711,8341.82798,619.666089
0.320732942,-0.297273856,30528.3228,-0.546366034,8534.30569,622.192404
0.327824981,-0.28606861,30490.2167,-0.548431114,8750.68237,625.028618
0.336522384,-0.279664838,30356.6492,-0.550885893,9015.40747,628.436101
0.345219787,-0.271986658,30009.4398,-0.553292135,9278.11102,631.700877
0.357776494,-0.280885447,29441.0057,-0.556706276,9651.1076,636.177368
0.3703332,-0.29101907,29162.5552,-0.560351296,10018.6889,640.839883
0.382889907,-0.369465872,28748.895,-0.564300687,10382.913,646.25635
0.395446613,-0.478784999,27783.1057,-0.569759063,10738.3608,652.439104
0.403867041,-0.729954853,26791.093,-0.574538805,10968.3793,656.935131
0.405683533,-0.753338983,26521.7891,-0.575909719,11016.8056,657.935461
0.408872207,-0.771454045,25970.5159,-0.578279853,11100.522,659.714207
0.413655219,-1.00765656,24927.5547,-0.582505001,11222.3589,662.432029
0.419237598,-1.22396908,23286.7064,-0.588829453,11357.173,665.670229
0.426698478,-2.1639848,20084.1082,-0.600487916,11519.7938,670.088025
0.435098609,-2.49063506,14622.5761,-0.622304423,11667.1119,675.149088
0.445572981,-11.673274,2517.57101,-0.677639612,11763.715,681.56353
0.456047353,-8.91263138,-22094.2612,-0.825145397,11676.1848,688.097082
0.466544425,-109.71618,-91961.2654,-1.22670993,11141.5798,694.777166
0.471975159,-543.359805,-189143.571,-2.71392324,10416.3867,698.29343
0.473140982,-729.526311,-222323.183,-3.4510036,10177.1752,699.054478
0.475084019,-995.062626,-305365.979,-5.15457139,9671.73022,700.328188
0.477415663,-1431.92592,-445073.251,-7.897607,8802.0282,701.865831
0.480814888,1582.06231,-1039354.96,-9.89442699,6489.36704,704.126626
0.48337694,11781.5709,-2295919.13,5.11882302,2442.62772,705.846241
0.485106137,69302.5823,-7258399.88,61.5897598,-4735.12785,707.014649
0.486096423,193230.371,-18455489.3,181.035718,-16443.3437,707.686659
0.486690627,794499.617,-66629377.8,426.107153,-37985.3667,708.090905
0.486756495,978282.203,-80028248.0,483.800223,-42772.8042,708.135763
0.486844318,1356846.05,-108210885.0,585.614309,-50963.331,708.195588
0.486976053,2796166.53,-194177651.0,841.661121,-70091.1965,708.285357
0.487095048,7201310.82,-427983100.0,1389.18646,-104655.695,708.366478
0.487168566,25434177.9,-1019482210.0,2416.83111,-153321.608,708.416612
0.487206199,73559253.9,-2066298870.0,4081.2712,-207907.501,708.442279
0.487228627,230542261.0,-3883056780.0,7082.30965,-271399.975,708.457577
0.487241849,494783716.0,-4303546600.0,11641.3601,-328076.583,708.466597
0.487251033,599978401.0,-1847146520.0,16902.5669,-359296.401,708.472862
0.487259558,457520752.0,1202622880.0,21549.9425,-360574.161,708.478678
0.487268084,268117023.0,2290618560.0,24570.1305,-344365.92,708.484494
0.487276609,162070698.0,2259602030.0,26358.3622,-324697.852,708.49031
0.48728881,86955198.5,1902893030.0,27814.8506,-299227.155,708.498634
0.487303308,48799449.1,1501474490.0,28763.9686,-274712.454,708.508526
0.487322401,26717706.9,1142207210.0,29455.9359,-249729.1,708.521554
0.487348609,14124790.7,839326342.0,29968.3055,-224114.598,708.539437
0.487378374,8051508.06,636909865.0,30286.971,-202393.347,708.55975
0.487425764,3911574.4,451857092.0,30555.6009,-177047.48,708.592094
0.487482412,1975266.54,332187293.0,30715.0951,-155152.531,708.630763
0.487557574,888723.072,243304312.0,30816.9062,-133850.952,708.682083
0.487661511,287528.044,176473772.0,30873.5524,-112383.617,708.753068
0.487779834,11331.7477,134553335.0,30888.9912,-94205.6713,708.833909
0.48796407,-162873.298,98541170.3,30872.6115,-73091.4164,708.959843
0.488184621,-248017.709,75981204.2,30826.2324,-54088.2843,709.110699
0.488477802,-301641.712,59950669.9,30744.6344,-34415.6858,709.311399
0.488886593,-338797.786,49183670.0,30613.158,-12405.1571,709.591561
0.489526606,-444111.224,44145821.7,30369.0561,16925.7942,710.030935
0.490098307,-679354.488,48311489.3,30056.2301,42956.0186,710.424189
0.490243562,-772692.543,50898611.4,29951.0478,50150.0991,710.524221
0.49053407,-1113034.16,59555623.6,29683.475,66070.493,710.724429
0.490900985,-2005130.85,82791842.8,29129.5822,91630.0002,710.977565
0.491228538,-6090288.06,142724130.0,27968.8144,126867.232,711.203802
0.491404689,-16614697.7,230411774.0,26165.8073,158593.943,711.325568
0.491512733,-51485684.4,274173688.0,22924.5579,186461.07,711.400289
0.491572434,-102126241.0,27278132.1,18517.6438,197971.181,711.441588
0.49161527,-122834158.0,-392269406.0,13495.9789,190591.424,711.471226
0.491650074,-99437411.6,-602571458.0,9529.03496,172232.971,711.495309
0.491684878,-64486622.3,-563024261.0,6708.41454,151546.403,711.519395
0.491723219,-39186354.1,-444238607.0,4766.52958,132245.171,711.545932
0.491768633,-23122563.7,-326649189.0,3392.9781,114903.597,711.577369
0.491828544,-12962285.3,-225969387.0,2350.29809,98609.463,711.618848
0.491895702,-7706264.9,-159532979.0,1676.86099,85858.0607,711.665354
0.491994698,-4144764.92,-104517353.0,1114.58255,73075.9467,711.733926
0.492112067,-2339512.49,-70153752.9,747.149207,63024.5475,711.815254
0.49226618,-1275756.13,-46079961.4,479.55877,54265.4038,711.922089
0.492478223,-656938.676,-29197591.2,283.702299,46484.559,712.069171
0.49271923,-358422.445,-19442413.7,165.916419,40743.5475,712.236467
0.493092801,-163282.802,-11799011.1,74.1513451,35084.6441,712.496041
0.493532113,-76921.5046,-7536347.16,24.0106033,30939.4062,712.801699
0.494102908,-32250.6835,-4762120.98,-5.14747176,27520.4148,713.199489
0.494867027,-11142.1472,-2953834.3,-20.3817054,24652.1256,713.733158
0.495727807,-3306.23385,-1937517.3,-26.0189874,22592.2768,714.335916
0.497011984,-103.259793,-1169656.2,-27.6851525,20656.4504,715.238266
0.498500449,228.277885,-737113.377,-27.4560443,19271.2536,716.288819
0.500397487,-121.889936,-453128.672,-27.3318393,18171.7595,717.634992
0.502897265,-476.097176,-264609.104,-28.1643749,17300.8552,719.421283
0.505698413,-481.097253,-156788.348,-29.581084,16726.059,721.439598
0.509882032,-225.577056,-74951.2746,-31.0729607,16262.1689,724.486154
0.514766404,-28.3756214,-29482.5007,-31.5922403,16019.4469,728.090312
0.52105228,2.86317471,-476.209953,-31.6064183,15935.7915,732.801867
0.522125819,-0.628383538,2682.95226,-31.6055647,15936.9908,733.614848
0.524560146,-3.48531907,8876.45298,-31.610846,15951.3782,735.467443
0.529428801,-4.39659738,17778.8229,-31.6328331,16017.8226,739.210907
0.534908281,-2.32457119,24287.6039,-31.6505297,16134.3077,743.485166
0.541742649,-1.30503467,29501.9248,-31.6622667,16319.5044,748.90637
0.550675968,-0.852608072,33657.962,-31.6717315,16603.2066,756.142817
0.560527519,-0.546171929,36415.2175,-31.6785155,16949.4377,764.32184
0.570838188,-0.435727095,38208.1978,-31.6833324,17334.8562,773.10754
0.584010167,-0.419497373,39549.1952,-31.6890907,17847.8916,784.647276
0.598612803,-0.291836998,40186.3059,-31.6943967,18430.9953,797.860967
0.613215438,-1.53191138,39529.5511,-31.7042714,19015.2456,811.570302
0.624417352,1.63511353,36746.3215,-31.7134071,19445.4131,822.438201
0.63297444,0.336632011,29590.8551,-31.6940004,19734.6912,830.948174
0.639070274,-105.611422,14919.3854,-31.913736,19877.3152,837.127033
0.643813533,-270.490016,-21478.8009,-32.8017702,19877.2938,842.004182
0.644190269,-265.230292,-26423.9496,-32.9038603,19868.3014,842.394184
0.6452476,-194.265783,-44575.4017,-33.1474102,19831.2755,843.490826
0.646750652,129.255463,-85059.4121,-33.2507669,19736.5007,845.055062
0.648153452,1185.60016,-154254.744,-32.4574345,19573.6822,846.520593
0.649277504,3608.27292,-260834.426,-29.9756812,19346.7372,847.698841
0.650182785,8771.40472,-428844.886,-24.718908,19042.8426,848.65032
0.650913967,19517.3607,-701723.957,-14.9519246,18640.8313,849.420476
0.651503986,41945.2003,-1161618.04,2.20186665,18107.3307,850.043031
0.651974305,88963.6019,-1961573.71,31.3236691,17396.5567,850.539979
0.652343979,188616.759,-3393573.44,79.7951496,16441.5895,850.931016
0.652629852,402170.305,-6015097.68,159.432728,15148.0416,851.233671
0.652840063,844104.917,-10632232.7,283.040495,13464.8116,851.456367
0.652992543,1719677.49,-18407913.4,468.28305,11328.2981,851.617981
0.653108739,3573644.84,-32000561.5,758.768764,8503.12386,851.741181
0.653190792,7081822.25,-52607717.4,1174.35037,5130.92098,851.828202
0.653253527,13847779.4,-82800836.8,1800.77512,976.579103,851.894749
0.653303294,26261997.1,-118582383.0,2759.3275,-3994.99489,851.947548
0.653342749,42434955.1,-131321963.0,4097.75452,-9052.60417,851.989411
0.653373998,52013514.4,-94403552.7,5600.84906,-12744.2849,852.022571
0.653402628,49136287.1,-25987825.1,7081.44305,-14494.4347,852.052954
0.653431258,38039184.5,31402644.9,8335.94497,-14337.5638,852.083339
0.653462152,26413071.1,60473589.9,9322.07198,-12841.5773,852.116129
0.653497574,17496004.5,68621501.7,10086.1282,-10507.4496,852.153728
0.653550192,10279208.9,64756402.1,10794.0239,-6963.74042,852.209587
0.653611407,6297445.24,56066300.6,11287.2729,-3269.79452,852.274583
0.65369288,3785719.08,46612933.2,11685.1947,891.707634,852.361104
0.653784482,2461840.7,39273770.2,11964.6565,4802.09231,852.458404
0.653917017,1532318.26,32674123.5,12221.5487,9529.89905,852.599224
0.654070018,1036491.06,28494865.7,12413.7272,14174.9647,852.761851
0.654317554,663263.017,25817740.5,12617.7583,20818.6827,853.025099
0.654604784,496204.47,27487500.8,12780.0822,28351.091,853.330776
0.654971402,389154.99,39174220.8,12942.7193,40187.3254,853.721274
0.655235873,493146.52,86480324.1,13051.2249,55289.3096,854.003206
0.655361377,-593266.904,187673648.0,13070.5382,71186.8206,854.137065
0.655422795,-3374087.31,453198913.0,12965.598,88969.1081,854.202587
0.655452982,-26551390.3,938053332.0,12619.5754,108643.401,854.234795
0.655467782,-103464275.0,1965502710.0,11793.7606,128499.816,854.250587
0.655475535,-430344796.0,1662827480.0,10057.2831,144099.649,854.25886
0.655480077,-681638582.0,-1589105570.0,7462.73465,146068.266,854.263707
0.65548328,-592430597.0,-3965254930.0,5314.35346,136321.443,854.267125
0.655486483,-354936361.0,-3928824330.0,3825.85034,123242.083,854.270543
0.655490047,-201645541.0,-3038526580.0,2864.48953,110864.125,854.274346
0.65549361,-125054154.0,-2331945550.0,2297.66153,101368.924,854.278148
0.655499567,-65997775.3,-1579860960.0,1754.52406,89939.7011,854.284504
0.655505523,-41243666.1,-1156919550.0,1443.33697,81894.8483,854.290861
0.655515278,-22528973.9,-767348099.0,1145.79077,72718.5513,854.30127
0.655525032,-14613794.4,-559585798.0,968.702508,66333.4331,854.31168
0.655542094,-8079566.77,-359888385.0,783.449756,58689.6266,854.32989
0.655559156,-5329352.7,-257618579.0,671.472383,53498.4103,854.3481
