component,field,s_tor,rho_tor,spectral_norm
J1,total,2.1472177611340383e-05,0.004633808111191095,0.7176139046507108
J1,total,0.00010735707459747507,0.01036132590923937,5.3235687712466734e-05
J1,total,0.00027911588025903415,0.016706761513202797,1.860635639139197e-05
J1,total,0.0005367392006026118,0.023167632606777323,2.2055943836077793e-05
J1,total,0.0008802072366784726,0.029668286716264435,2.685978644966125e-05
J1,total,0.0013094964035694355,0.03618696455312929,3.1760731697741554e-05
J1,total,0.0018245953340120225,0.04271528220686389,3.627942464729257e-05
J1,total,0.0024254980996628686,0.04924934618513091,4.0129605204892814e-05
J1,total,0.003112238042626268,0.05578743624353308,4.376313573892146e-05
J1,total,0.0038848922502306687,0.06232890381059712,4.8150065872061594e-05
J1,total,0.004743561024367148,0.06887351467993447,5.350609790255838e-05
J1,total,0.005688368783583975,0.07542127540411905,5.930768421709862e-05
J1,total,0.006719443906703449,0.0819722142356997,6.532366509099149e-05
J1,total,0.007836908410282296,0.08852631478991033,7.136832340017956e-05
J1,total,0.009040879754914567,0.09508354092541235,7.735687852693254e-05
J1,total,0.010331450617744615,0.10164374362322855,8.353539267078142e-05
J1,total,0.011708733774138773,0.10820690261780333,8.994032679510013e-05
J1,total,0.013172881563961038,0.1147731744091843,9.655075309968194e-05
J1,total,0.014724048046808227,0.12134268847692566,0.00010344408186682683
J1,total,0.016362395633463468,0.12791558010447152,0.00011012217191740064
J1,total,0.01808804395195005,0.13449179882784695,0.00011683500224865869
J1,total,0.01990113744773817,0.14107139131566743,0.00012338924764480037
J1,total,0.021801884413277003,0.1476546118930154,0.00012909846651399553
J1,total,0.02379045729663574,0.15424155502534245,0.00013362875511584545
J1,total,0.025866973129083808,0.1608321271670676,0.00013805993958221764
J1,total,0.028031487511528015,0.16742606580675548,0.00014205586539160596
J1,total,0.030284071885262172,0.17402319352678874,0.0001459489777736024
J1,total,0.03262483188392654,0.1806234533052852,0.00014937303994632677
J1,total,0.0350538257694524,0.1872266694930303,0.0001535749067438885
